No.,Time,Source,Destination,Protocol,Length,Win
236,9.596567,10.0.0.1,10.0.0.2,TCP,2962,29696
237,9.597842,10.0.0.2,10.0.0.1,TCP,66,170496
238,9.622866,10.0.0.1,10.0.0.2,TCP,2962,29696
239,9.647197,10.0.0.1,10.0.0.2,TCP,2962,29696
240,9.660595,10.0.0.1,10.0.0.2,TCP,1514,29696
241,9.747658,10.0.0.2,10.0.0.1,TCP,66,170496
242,9.774592,10.0.0.2,10.0.0.1,TCP,66,170496
243,9.797854,10.0.0.2,10.0.0.1,TCP,66,170496
244,9.811098,10.0.0.2,10.0.0.1,TCP,66,170496
245,9.822923,10.0.0.1,10.0.0.2,TCP,2962,29696
246,9.848952,10.0.0.1,10.0.0.2,TCP,2962,29696
247,9.87318,10.0.0.1,10.0.0.2,TCP,2962,29696
248,9.89742,10.0.0.1,10.0.0.2,TCP,2962,29696
249,9.974689,10.0.0.2,10.0.0.1,TCP,66,170496
250,9.99939,10.0.0.2,10.0.0.1,TCP,66,170496
251,10.024928,10.0.0.2,10.0.0.1,TCP,66,170496
252,10.049438,10.0.0.1,10.0.0.2,TCP,2962,29696
253,10.049421,10.0.0.2,10.0.0.1,TCP,66,170496
254,10.0738,10.0.0.1,10.0.0.2,TCP,2962,29696
255,10.099314,10.0.0.1,10.0.0.2,TCP,2962,29696
256,10.123877,10.0.0.1,10.0.0.2,TCP,2962,29696
257,10.19982,10.0.0.2,10.0.0.1,TCP,66,170496
258,10.224357,10.0.0.2,10.0.0.1,TCP,66,170496
259,10.249886,10.0.0.2,10.0.0.1,TCP,66,170496
260,10.274178,10.0.0.1,10.0.0.2,TCP,2962,29696
261,10.274461,10.0.0.2,10.0.0.1,TCP,66,170496
262,10.298794,10.0.0.1,10.0.0.2,TCP,2962,29696
263,10.324319,10.0.0.1,10.0.0.2,TCP,2962,29696
264,10.349206,10.0.0.1,10.0.0.2,TCP,2962,29696
265,10.426104,10.0.0.2,10.0.0.1,TCP,66,170496
266,10.449974,10.0.0.2,10.0.0.1,TCP,66,170496
267,10.476291,10.0.0.2,10.0.0.1,TCP,66,170496
268,10.500171,10.0.0.2,10.0.0.1,TCP,66,170496
269,10.524398,10.0.0.1,10.0.0.2,TCP,2962,29696
270,10.550688,10.0.0.1,10.0.0.2,TCP,2962,29696
271,10.574842,10.0.0.1,10.0.0.2,TCP,2962,29696
272,10.674916,10.0.0.2,10.0.0.1,TCP,78,170496
273,10.701246,10.0.0.2,10.0.0.1,TCP,78,170496
274,10.725249,10.0.0.2,10.0.0.1,TCP,78,170496
275,10.738338,10.0.0.1,10.0.0.2,TCP,1514,29696
276,10.763531,10.0.0.1,10.0.0.2,TCP,1514,29696
277,10.799638,10.0.0.1,10.0.0.2,TCP,2962,29696
278,10.888982,10.0.0.2,10.0.0.1,TCP,78,170496
279,10.914663,10.0.0.2,10.0.0.1,TCP,66,170496
280,10.950565,10.0.0.2,10.0.0.1,TCP,78,170496
281,10.951199,10.0.0.1,10.0.0.2,TCP,1514,29696
282,10.976938,10.0.0.1,10.0.0.2,TCP,1514,29696
283,11.024976,10.0.0.1,10.0.0.2,TCP,2962,29696
284,11.10166,10.0.0.2,10.0.0.1,TCP,78,170496
285,11.128264,10.0.0.2,10.0.0.1,TCP,78,170496
286,11.163942,10.0.0.1,10.0.0.2,TCP,1514,29696
287,11.177673,10.0.0.2,10.0.0.1,TCP,78,170496
288,11.240966,10.0.0.1,10.0.0.2,TCP,1514,29696
289,11.252231,10.0.0.1,10.0.0.2,TCP,1514,29696
290,11.314395,10.0.0.2,10.0.0.1,TCP,66,170496
291,11.376937,10.0.0.1,10.0.0.2,TCP,1514,29696
292,11.392386,10.0.0.2,10.0.0.1,TCP,66,170496
293,11.4042,10.0.0.2,10.0.0.1,TCP,66,170496
294,11.46695,10.0.0.1,10.0.0.2,TCP,2962,29696
295,11.478854,10.0.0.1,10.0.0.2,TCP,1514,29696
296,11.527692,10.0.0.2,10.0.0.1,TCP,66,170496
297,11.589966,10.0.0.1,10.0.0.2,TCP,1514,29696
298,11.619045,10.0.0.2,10.0.0.1,TCP,66,170496
299,11.629953,10.0.0.2,10.0.0.1,TCP,66,170496
300,11.692318,10.0.0.1,10.0.0.2,TCP,1514,29696
301,11.741324,10.0.0.2,10.0.0.1,TCP,66,170496
302,11.803563,10.0.0.1,10.0.0.2,TCP,1514,29696
303,11.843411,10.0.0.2,10.0.0.1,TCP,78,170496
304,11.905716,10.0.0.1,10.0.0.2,TCP,1514,29696
305,11.954738,10.0.0.2,10.0.0.1,TCP,78,170496
306,12.016991,10.0.0.1,10.0.0.2,TCP,1514,29696
307,12.05619,10.0.0.2,10.0.0.1,TCP,78,170496
308,12.118469,10.0.0.1,10.0.0.2,TCP,1514,29696
309,12.168707,10.0.0.2,10.0.0.1,TCP,78,170496
310,12.230972,10.0.0.1,10.0.0.2,TCP,1514,29696
311,12.268982,10.0.0.2,10.0.0.1,TCP,66,170496
312,12.331663,10.0.0.1,10.0.0.2,TCP,1514,29696
313,12.382336,10.0.0.2,10.0.0.1,TCP,66,170496
314,12.444815,10.0.0.1,10.0.0.2,TCP,1514,29696
315,12.456897,10.0.0.1,10.0.0.2,TCP,1514,29696
316,12.482653,10.0.0.2,10.0.0.1,TCP,66,170496
317,12.545877,10.0.0.1,10.0.0.2,TCP,1514,29696
318,12.596355,10.0.0.2,10.0.0.1,TCP,66,170496
319,12.608283,10.0.0.2,10.0.0.1,TCP,66,170496
